Sample	lat	long	replicates	sites	controls	Datecode	Year	Month	Day	MMDD	Date	STATION_NA	Habitat_type	DO(mg-l)	SALINITY(psu)	TEMP(C)	BAYSIDE
AMW_RB1_S1_L001	NA	NA	AMW_RB1	NA	positive	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AMW_S2_S1_L001	NA	NA	AMW_S2	NA	positive	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CCE1_S1_L001	NA	NA	CCE1	NA	positive	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CCE2_S1_L001	NA	NA	CCE2	NA	positive	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MC1_S1_L001	NA	NA	SA1	NA	positive	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MC2_S1_L001	NA	NA	MC2	NA	positive	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MEB_S1_L001	NA	NA	MEB	NA	negative	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SA1_S1_L001	NA	NA	MC1	NA	positive	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SA2_S1_L001	NA	NA	SA2	NA	positive	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Shark_blood_S2_L001	NA	NA	Shark_blood	NA	positive	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T1S1_S1_L001	40.83347403	-72.55252498	T1S1	12	NA	20210525	2021	5	25	525	5/25/21	PINE NECK	OPEN WATER	7.63	30.9	17.4	WEST
T1S2_S1_L001	40.82872904	-72.53193802	T1S2	10	NA	20210525	2021	5	25	525	5/25/21	WEST MID BAY	OPEN WATER	8	31.2	15.8	WEST
T1S3_S1_L001	40.83791502	-72.53677203	T1S3	9	NA	20210525	2021	5	25	525	5/25/21	DUNE ROAD	OPEN WATER	7.58	31	18.3	WEST
T1S4_S1_L001	40.84862902	-72.54801502	T1S4	8	NA	20210525	2021	5	25	525	5/25/21	WEST TIANA	OPEN WATER	8.72	31.1	15.7	WEST
T1S5_S1_L001	40.84659498	-72.50059901	T1S5	4	NA	20210525	2021	5	25	525	5/25/21	PONQUOGUE BRIDGE	OPEN WATER	8.36	31.1	17.1	EAST
T1S6_S1_L001	40.850855	-72.488632	T1S6	3	NA	20210525	2021	5	25	525	5/25/21	INLET	OPEN WATER	9.16	30.9	15.9	EAST
T1S7_S1_L001	40.86852003	-72.47460597	T1S7	2	NA	20210525	2021	5	25	525	5/25/21	CORMORANT POINT	OPEN WATER	8.1	30.4	17.6	EAST
T1S8_S1_L001	40.86263903	-72.49350901	T1S8	1	NA	20210525	2021	5	25	525	5/25/21	SHINNECOCK HILLS	OPEN WATER	7.57	29	19.5	EAST
T1S9_S1_L001	40.88104301	-72.48041698	T1S9	13	NA	20210525	2021	5	25	525	5/25/21	EAST MID BAY	OPEN WATER	8.3	30.2	17.7	EAST
T1S10_S1_L001	40.85579203	-72.45562004	T1S10	11	NA	20210525	2021	5	25	525	5/25/21	SOUTH GRASS	OPEN WATER	8.82	31	17.5	EAST
T1S11_S1_L001	40.87629701	-72.45737102	T1S11	7	NA	20210525	2021	5	25	525	5/25/21	LITTLE POND	OPEN WATER	8.67	29.4	19.4	EAST
T1Tiana_S1_L001	40.86009	-72.537887	T1Tiana	TI	NA	20210525	2021	5	25	525	5/25/21	TIANA CLAM	CLAM	NA	NA	NA	WEST
T1Wessuck_S1_L001	40.83866	-72.57004	T1Wessuck	WC	NA	20210525	2021	5	25	525	5/25/21	WESSUCK CLAM	CLAM	NA	NA	NA	WEST
T1Blank_S1_L001	NA	NA	T1Blank	NA	negative	20210525	2021	5	25	525	5/25/21	NA	NA	NA	NA		NA
T3S1_S1_L001	40.83347403	-72.55252498	T3S1	12	NA	20210622	2021	6	22	622	6/22/21	PINE NECK	OPEN WATER	6.7	30.4	20.8	WEST
T3S2_S1_L001	40.82872904	-72.53193802	T3S2	10	NA	20210622	2021	6	22	622	6/22/21	WEST MID BAY	OPEN WATER	6.8	30.8	20.1	WEST
