Sample	lat	long	replicates	sites	controls	Datecode	Year	Month	Day	MMDD	Date	STATION_NA	Habitat_type	DO(mg-l)	SALINITY(psu)	TEMP(C)	TIME	WEATHER	BAYSIDE
T2Blank_S3_L002	NA	NA	T2Blank	NA	negative	20230705	2023	7	5	705	7/5/23	NA	NA	NA	NA	NA	NA	NA	NA
T2Positive_S3_L002	NA	NA	T2Positive	NA	positive	20230705	2023	7	5	705	7/5/23	NA	NA	NA	NA	NA	NA	NA	NA
T2S1_S3_L002	40.833857	-72.55301599	T2S1	12	NA	20230705	2023	7	5	705	7/5/23	PINE NECK	OPEN WATER	6.51	30.2	23.2	9:48	SUNNY	WEST
T2S2_S3_L002	40.83632698	-72.54081303	T2S2	10	NA	20230705	2023	7	5	705	7/5/23	WEST MID BAY	OPEN WATER	6.98	31.5	21.9	10:06	SUNNY	WEST
T2S3_S3_L002	40.829384	-72.52880897	T2S3	9	NA	20230705	2023	7	5	705	7/5/23	DUNE ROAD	OPEN WATER	4.8	31.1	24.1	10:27	SUNNY	WEST
T2S4_S3_L002	40.85080697	-72.54203998	T2S4	8	NA	20230705	2023	7	5	705	7/5/23	WEST TIANA	OPEN WATER	6.95	31.2	22.4	10:47	SUNNY	WEST
T2S5_S3_L002	40.84847404	-72.50028997	T2S5	4	NA	20230705	2023	7	5	705	7/5/23	PONQUOGUE BRIDGE	OPEN WATER	7.37	30.8	22.1	11:33	SUNNY	EAST
T2S6_S3_L002	40.85559798	-72.48360001	T2S6	3	NA	20230705	2023	7	5	705	7/5/23	INLET	OPEN WATER	7.88	31.3	19.8	11:51	SUNNY	EAST
T2S7_S3_L002	40.86448498	-72.49076896	T2S7	2	NA	20230705	2023	7	5	705	7/5/23	CORMORANT POINT	OPEN WATER	6.37	31.5	20.6	12:07	SUNNY	EAST
T2S8_S3_L002	40.87773199	-72.47381003	T2S8	1	NA	20230705	2023	7	5	705	7/5/23	SHINNECOCK HILLS	OPEN WATER	7.12	30.7	22.7	12:30	SUNNY	EAST
T2S9_S3_L002	40.86747296	-72.46511397	T2S9	13	NA	20230705	2023	7	5	705	7/5/23	EAST MID BAY	OPEN WATER	7.32	30.1	24.2	12:46	SUNNY	EAST
T2S10_S3_L002	40.85746698	-72.45544796	T2S10	11	NA	20230705	2023	7	5	705	7/5/23	SOUTH GRASS	OPEN WATER	8.38	31.4	19.2	1:09	SUNNY	EAST
T2S11_S3_L002	40.87454402	-72.45597602	T2S11	7	NA	20230705	2023	7	5	705	7/5/23	LITTLE POND	OPEN WATER	7.12	30.3	24.4	1:30	SUNNY	EAST
