ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_1	Eukaryota	Chordata	Chondrichthyes	Carcharhiniformes	Triakidae	Mustelus	Mustelus canis
ASV_100	Eukaryota	Chordata	Chondrichthyes	Carcharhiniformes	Triakidae	Mustelus	Mustelus canis
ASV_1001	Eukaryota	Chordata	Chondrichthyes	Myliobatiformes	Myliobatidae	Rhinoptera	Rhinoptera bonasus
ASV_1002	Eukaryota	Chordata	Actinopteri	NA	NA	NA	NA
ASV_1003	Eukaryota	Chordata	Actinopteri	Labriformes	Labridae	Tautogolabrus	Tautogolabrus adspersus
ASV_101	Eukaryota	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa
ASV_1010	Eukaryota	Chordata	Actinopteri	Clupeiformes	Clupeidae	Alosa	NA
ASV_1011	Eukaryota	Chordata	Chondrichthyes	Carcharhiniformes	Triakidae	Mustelus	Mustelus canis
ASV_1014	Eukaryota	Chordata	Chondrichthyes	Carcharhiniformes	Triakidae	Mustelus	Mustelus canis
ASV_1016	Eukaryota	Chordata	Actinopteri	Scombriformes	Nomeidae	NA	NA
ASV_1019	Eukaryota	Chordata	Chondrichthyes	Lamniformes	Alopiidae	Isurus	Isurus oxyrinchus
ASV_1024	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
ASV_1026	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
ASV_1028	Eukaryota	Chordata	Actinopteri	Scombriformes	Nomeidae	NA	NA
ASV_103	Eukaryota	Chordata	Chondrichthyes	Myliobatiformes	Myliobatidae	Rhinoptera	Rhinoptera bonasus
ASV_1030	Eukaryota	Chordata	Chondrichthyes	Carcharhiniformes	Scyliorhinidae	Scyliorhinus	Scyliorhinus retifer
ASV_1035	Eukaryota	Chordata	Chondrichthyes	Myliobatiformes	Myliobatidae	Rhinoptera	Rhinoptera bonasus
ASV_1039	Eukaryota	Chordata	Chondrichthyes	Rajiformes	Rajidae	Leucoraja	Leucoraja erinacea
ASV_1040	Eukaryota	Chordata	Actinopteri	Clupeiformes	Clupeidae	Alosa	Alosa pseudoharengus
ASV_1048	Eukaryota	Chordata	Chondrichthyes	Carcharhiniformes	Triakidae	Mustelus	Mustelus canis
ASV_1050	Eukaryota	Chordata	Chondrichthyes	Rajiformes	Rajidae	Raja	Raja eglanteria
ASV_1052	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
ASV_1054	Eukaryota	Chordata	Actinopteri	Clupeiformes	Clupeidae	Alosa	NA
ASV_1055	Eukaryota	Chordata	Chondrichthyes	Myliobatiformes	Myliobatidae	Rhinoptera	Rhinoptera bonasus
ASV_1057	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
ASV_1058	Eukaryota	Chordata	Chondrichthyes	Lamniformes	Odontaspididae	Carcharias	Carcharias taurus
ASV_106	Eukaryota	Chordata	Chondrichthyes	Carcharhiniformes	Triakidae	Mustelus	Mustelus canis
ASV_1061	Eukaryota	Chordata	Chondrichthyes	Rajiformes	Rajidae	Leucoraja	Leucoraja erinacea
ASV_1062	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
ASV_1063	Eukaryota	Chordata	Chondrichthyes	Rajiformes	Rajidae	Leucoraja	Leucoraja ocellata
ASV_1066	Eukaryota	Chordata	Chondrichthyes	Squaliformes	NA	NA	NA
ASV_107	Eukaryota	Chordata	Chondrichthyes	Carcharhiniformes	Triakidae	Mustelus	Mustelus canis
ASV_1070	Eukaryota	Chordata	Chondrichthyes	Myliobatiformes	Myliobatidae	Rhinoptera	Rhinoptera bonasus
ASV_1072	Eukaryota	Chordata	Chondrichthyes	Squaliformes	Squalidae	Squalus	NA
ASV_1074	Eukaryota	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa
ASV_1078	Eukaryota	Chordata	Chondrichthyes	Carcharhiniformes	Triakidae	Mustelus	Mustelus canis
ASV_108	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
ASV_1084	Eukaryota	Chordata	Actinopteri	Cichliformes	NA	NA	NA
ASV_1085	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
ASV_1087	Eukaryota	Chordata	Chondrichthyes	Rajiformes	Rajidae	Leucoraja	Leucoraja erinacea
ASV_1089	Eukaryota	Chordata	Chondrichthyes	Myliobatiformes	Myliobatidae	Rhinoptera	Rhinoptera bonasus
ASV_109	Eukaryota	Chordata	Chondrichthyes	Rajiformes	Rajidae	Raja	Raja eglanteria
ASV_1092	Eukaryota	Chordata	Chondrichthyes	Squaliformes	Squalidae	Squalus	NA
ASV_1099	Eukaryota	Chordata	Chondrichthyes	Myliobatiformes	Myliobatidae	Rhinoptera	Rhinoptera bonasus
ASV_11	Eukaryota	Chordata	Chondrichthyes	Rajiformes	Rajidae	Leucoraja	Leucoraja erinacea
ASV_110	Eukaryota	Chordata	Actinopteri	Cichliformes	NA	NA	NA
ASV_1102	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
ASV_1106	Eukaryota	Chordata	Actinopteri	Clupeiformes	Clupeidae	Alosa	NA
ASV_1108	Eukaryota	Chordata	Chondrichthyes	Rajiformes	Rajidae	Leucoraja	Leucoraja ocellata
ASV_111	Eukaryota	Chordata	Chondrichthyes	Myliobatiformes	Myliobatidae	Rhinoptera	Rhinoptera bonasus
ASV_1110	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
ASV_1112	Eukaryota	Chordata	Actinopteri	NA	NA	NA	NA
ASV_1115	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
ASV_112	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
ASV_1122	Eukaryota	Chordata	Chondrichthyes	Myliobatiformes	Myliobatidae	Rhinoptera	Rhinoptera bonasus
ASV_1123	Eukaryota	Chordata	Chondrichthyes	Lamniformes	Odontaspididae	Carcharias	Carcharias taurus
ASV_1124	Eukaryota	Chordata	Chondrichthyes	Carcharhiniformes	Triakidae	Mustelus	Mustelus canis
ASV_1128	Eukaryota	Chordata	Actinopteri	NA	NA	NA	NA
ASV_1129	Eukaryota	Chordata	Chondrichthyes	Carcharhiniformes	Triakidae	Mustelus	Mustelus canis
ASV_113	Eukaryota	Chordata	Aves	NA	NA	NA	NA
ASV_1135	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
ASV_1137	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
ASV_1140	Eukaryota	Chordata	Actinopteri	Cichliformes	NA	NA	NA
ASV_1142	Eukaryota	Chordata	Chondrichthyes	Carcharhiniformes	Triakidae	Mustelus	Mustelus canis
