x	MP_T2Blank_S3_L002	MP_T2S1_S3_L002	MP_T2S2_S3_L002	MP_T2S3_S3_L002	MP_T2S4_S3_L002	MP_T2S5_S3_L002	MP_T2S6_S3_L002	MP_T2S7_S3_L002	MP_T2S8_S3_L002	MP_T2S9_S3_L002	MP_T2S10_S3_L002	MP_T2S11_S3_L002	MP_T2WC_S3_L002	MP_T2Tiana_S3_L002	MP_T3S1_S3_L002	MP_T3S2_S3_L002	MP_T3S3_S3_L002	MP_T3S4_S3_L002	MP_T3S5_S3_L002	MP_T3S6_S3_L002	MP_T3S7_S3_L002	MP_T3S8_S3_L002	MP_T3S9_S3_L002	MP_T3S10_S3_L002	MP_T3S11_S3_L002	MP_T3WC_S3_L002	MP_T3Tiana_S3_L002	MP_T5Blank_S4_L002	MP_T5S1_S3_L002	MP_T5S2_S3_L002	MP_T5S3_S3_L002	MP_T5S4_S3_L002	MP_T5S5_S3_L002	MP_T5S6_S3_L002	MP_T5S7_S3_L002	MP_T5S8_S3_L002	MP_T5S9_S3_L002	MP_T5S10_S3_L002	MP_T5S11_S3_L002	MP_T5WC_S4_L002	MP_T5Tiana_S4_L002	MP_A_Blank_S4_L002	MP_AC4_S4_L002	MP_AC5_S4_L002	MP_AS1_S4_L002	MP_AS3_S4_L002	MP_AS6_S4_L002	MP_AS9_S4_L002	MP_J_Blank_S4_L002	MP_JC4_S4_L002	MP_JC5_S4_L002	MP_JS1_S4_L002	MP_JS3_S4_L002	MP_JS6_S4_L002	MP_JS9_S4_L002	MP_S_Blank_S4_L002	MP_SC4_S4_L002	MP_SC5_S4_L002	MP_SS1_S4_L002	MP_SS3_S4_L002	MP_SS6_S4_L002	MP_SS9_S4_L002
ASV_1	926	4322	123113	1556	66951	90727	73205	2934	108870	130080	49634	94410	137321	49529	2606	2377	3181	6545	72899	112290	66621	176875	105582	159336	127413	12570	214812	386	3740	108794	205640	74220	170699	203593	146501	212424	200783	116648	169571	768	137327	190	4	747	690	892	836	0	14	1207	251308	601	2956	1359	0	148	913	1	762	2192	951	731
ASV_4	348	1686	1034	682	71486	68013	188123	1227	998	25686	52185	915	1281	124363	198106	924	1207	156559	129508	25330	136065	1270	55718	30611	1535	5057	1539	0	1518	718	1569	104377	1638	1623	1475	1680	17273	1488	1594	0	0	3	0	3	0	3	12	0	0	1	0	0	0	0	0	0	10	0	12	0	0	0
ASV_9	21	123	84	50	101	96	140	95	94	228	129	59	81	69	118	69	96	137	103	115	107	105	145	120	106	307	118	181	108	46	119	140	23405	125	194	122	12551	26531	128	523	696	118	0	302605	366	488	440	0	0	895	499	614	1408	734	0	92	409	0	510	1253	498	392
ASV_15	36	213	119	104	162	200	258	159	100	140	170	111	135	137	203	107	167	238	191	85489	225	133	9697	32965	129	591	165	0	237	68	164	46804	126	183	162	150	190	160	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0	214	0	0	0	0	259	305	0	0	0	0	239	175	882	0	0	0	0	0	280	823	0	270
ASV_19	23	143	80	48	92	125	121	79	88	112	107	83	101	65	85	73	61	111	108	137	108	102	106	102	102	333	141	23	94	57	123	111	122	106	104	151	119	111	116	66	132	23	0	80	78	69	89	0	2	128	89	39	210	127	0	14	84	0	80	229	92	69
ASV_21	37	186	97	69	66569	145	186	143	92	105	483	91	153	101	136	101	128	150	143	27478	161	129	146	158	133	466	140	0	153	65	172	148	150	189	139	138	166	23955	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_22	39	222	138	76	181	192	218	130	109	153	189	104	167	139	206	116	151	215	161	188	204	137	216	203	129	495	169	0	154	77	166	198	12304	186	64172	220	203	38667	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_24	24	159	50	46	476	126	116	91	64	73	68544	52	78	61	93	69	117	82	65	229	100	88	87	91	94	333	104	0	102	57	96	90	80	4678	104	98	115	264	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_25	27	155	45	53	74	135	117	81	59	71	84	58	95	76	105	74	75	167	96	157	104	80	88	106	100	330	114	0	115	51	93	110	85	102	78	113	104	109	95	0	383	70	0	315	0	0	286	0	0	400	0	0	0	436	0	56	302	0	0	0	319	0
ASV_33	14	87	351	26	187	266	245	38	284	344	59994	239	410	104	55	43	54	121	237	379	353	696	306	436	323	235	645	0	64	233	524	239	406	763	371	571	513	306	526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_34	17	70	235	29	159	205	137	47	210	205	210	160	224	100	54	50	39	57955	159	237	144	295	176	282	240	273	358	0	64	181	368	141	255	335	225	347	322	200	313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_37	21	92	29	28	36	96	86	54	41	53	63	30	54	40	54	50	55	67	62	10550	67	37	52	57	46	251	76	0	76	28	63	59	47	54	50	63	52	60	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	76	162	19	0	99	82	106	80	0	0	129	167	67	270	161	0	24	115	0	100	248	97	132
ASV_39	15	103	55	27	100	49054	69	55	49	52	89	42	74	46	71	45	41	68	47	64	68	63	63	88	55	212	99	0	49	42	63	76	70	76	58	83	68	71	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_40	7	64	33	20	74	47	62	52	18	34	57	24	43	45	43	35	45	35	41	62	44261	28	182	38	44	146	52	0	53	16	45	43	40	52	47	28	35	49	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_44	10	52	20	22	48	41	62	39	25	43	57	21	34	23	42	32	37	45	50	42	122	33	34767	44	35	134	47	0	48	20	31	57	53	39	38	67	40	33	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_45	0	41	1027	0	1017	748	627	0	797	920	337	700	1082	507	0	0	0	62	529	739	458	1578	773	1116	962	94	1902	0	0	779	1783	543	1206	1548	994	2004	1543	921	1690	0	1033	0	0	0	0	0	0	0	0	0	1878	0	0	0	0	0	0	0	0	0	0	0
ASV_53	0	0	525	0	0	470	0	0	0	0	0	301	0	0	0	0	0	0	0	0	0	579	0	0	557	0	611	0	0	0	656	0	0	0	0	667	604	351	505	25	987	0	0	18	21	20	0	0	0	38	1165	14	80	37	0	0	0	0	30	85	32	0
ASV_57	0	0	761	0	221	472	238	0	708	496	251	307	0	337	0	0	0	37	408	649	239	641	686	990	678	79	805	0	0	978	755	466	841	696	1022	1175	1004	557	1001	0	494	0	0	0	0	0	0	0	0	0	1396	0	0	0	0	0	0	0	0	0	0	0
ASV_58	0	0	666	0	236	352	251	0	567	1003	281	324	508	335	0	0	0	32	263	1096	331	675	586	601	431	0	1206	0	0	569	732	265	949	682	832	2631	1000	425	677	0	0	0	0	0	0	0	0	0	0	0	970	0	0	0	0	0	0	0	0	0	0	0
ASV_61	0	0	401	0	0	0	325	0	1126	651	259	0	640	0	0	0	0	0	805	363	213	1533	0	478	416	0	2985	0	0	511	1025	344	768	624	689	663	656	500	557	0	643	0	0	0	0	0	0	0	0	0	1688	0	0	0	0	0	0	0	0	0	0	0
ASV_62	6	21	19	0	0	0	0	24	15	0	0	16	21	0	0	19	27	0	0	0	0	22	18503	0	26	62	20	0	27	16	23	0	32	29	26	28	0	21	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_64	0	0	641	0	565	0	310	0	0	612	490	307	473	222	0	0	0	0	0	371	316	967	487	744	750	0	1158	0	0	328	1313	346	752	913	489	1085	895	571	810	0	593	0	0	0	0	0	0	0	0	0	1636	0	0	0	0	0	0	0	0	0	0	0
ASV_65	0	0	605	0	0	0	0	0	359	900	160	0	639	257	0	0	0	0	243	546	319	577	0	727	629	0	1312	0	0	567	0	365	571	926	722	1811	876	581	960	0	424	0	0	0	0	0	0	0	0	0	2736	0	0	0	0	0	0	0	0	24	0	0
ASV_73	0	0	422	0	0	0	0	0	0	740	162	747	446	0	0	0	0	0	245	411	0	0	379	523	495	0	1261	0	0	0	3511	295	860	661	468	647	1257	403	581	0	495	0	0	0	0	0	0	0	0	0	1413	0	0	0	0	0	0	0	0	0	0	0
ASV_75	6	14	17	10	46	41	75	16	15	30	35	12	19	54	72	9	17	64	62	45	58	37	28	31	15017	63	17	0	29	11	14	62	23	25	26	21	23	30	31	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
